Job_id,Job_title,Job_url,Job_company,Job_location,Site_id,Job_complete,Job_Description
1080,"Data Scientist I, Product Analytics",https://www.linkedin.com/jobs/view/data-scientist-i-product-analytics-at-oscar-health-3496008762,Oscar Health,"New York, NY",1001,1,"About the job
Hi, we're Oscar. We're hiring a Data Scientist I to join our Product Analytics team.

Oscar is the first health insurance company built around a full stack technology platform and a focus on serving our members. We started Oscar in 2012 to create the kind of health insurance company we would want for ourselves—one that behaves like a doctor in the family.

About The Role

+Oscar is Oscar’s software platform and Campaign Builder is a tool that providers, payers, and partners use to engage with their members and customers. The Data Scientist I, Product Analytics will play a critical role in developing the data pipeline management and reporting infrastructure for +Oscar Campaign Builder clients. Additionally, they’ll partner with the Customer Success function to conduct outcomes analytics and reporting based on client needs and interest.

Campaign Builder is an engagement and automation platform that enables scalable, personalized interventions and automates workflows to drive growth, manage risk, and optimize admin operations. Built for non-technical users, risk bearing entities can use the tool to build “campaigns” that deliver interventions with multiple touch points over time to drive behavior change. The solution has been a key differentiator for +Oscar clients and we’re excited about bringing the technology to more users nationwide.

You will report into an Associate Director of Data Science. This is a hybrid role. You will work part of the time in the New York City office and part of the time work-from-home/remote.

The potential base pay for this role is: $115,360-$151,410 per year. You are also eligible for employee benefits, company equity grants and annual performance bonuses.

Applicants must be currently authorized to work in the United States on a full-time basis. Oscar will not sponsor applicants for this role.

Responsibilities
Help establish and maintain strategic +Oscar Modular Solutions roadmap for the Data team
Work with key stakeholders to strategize, implement, and manage the productization of data science models related to Campaign Builder
Assist with the evaluation of the financial impact of campaigns with both external and internal audiences
Requirements gathering for data pipeline management and reporting infrastructure build out and enhancement; includes obtaining regular stakeholder and end-user input
Help establish success metrics for projects and work with business to track and communicate metrics through dashboards and metrics
Requirements
A bachelor's degree and 2+ years of relevant work experience OR a master’s degree in a quantitative field and 1+ years of relevant work experience
Experience working with and building data models using common tools like Python or SQL
Experience with product analytics
Experience managing projects and partners across the organization with the ability to visualize a process, identify and resolve bottlenecks
Bonus Points
Knowledge of or previous work experience in health care, health economics, or health insurance
This is an authentic Oscar Health job opportunity. Learn more about how you can safeguard yourself from recruitment fraud here.

At Oscar, being an Equal Opportunity Employer means more than upholding discrimination-free hiring practices. It means that we cultivate an environment where people can be their most authentic selves and find both belonging and support. We're on a mission to change health care -- an experience made whole by our unique backgrounds and perspectives..

Pay Transparency

Final offer amounts, within the base pay set forth above, are determined by factors including your relevant skills, education, and experience.

Full-time employees are eligible for benefits including: medical, dental, and vision benefits, paid holidays, paid vacation and sick time, paid parental leave, 401(k) plan participation, life and disability insurance, and paid wellness time and reimbursements.

Reasonable Accommodation

Oscar applicants are considered solely based on their qualifications, without regard to applicant’s disability or need for accommodation. Any Oscar applicant who requires reasonable accommodations during the application process should contact the Oscar Benefits Team (accommodations@hioscar.com) to make the need for an accommodation known.

To protect the health and safety of our employees, we require any employee conducting in-person work* to be fully vaccinated against COVID-19 by their start date. If you are unable to be vaccinated due to medical or protected religious reasons, please reach out to our Benefits team at accommodations@hioscar.com to submit an accommodations request.
Note: In-person work includes: employees required to work from our offices, employees conducting sales work in the field and employees conducting at-home or in-person visits with members."
1081,"Data Scientist I, Product Analytics",https://www.linkedin.com/jobs/view/data-scientist-i-product-analytics-at-oscar-health-3496012491,Oscar Health,United States,1001,1,"Hi, we're Oscar. We're hiring a Data Scientist I to join our Product Analytics team.

Oscar is the first health insurance company built around a full stack technology platform and a focus on serving our members. We started Oscar in 2012 to create the kind of health insurance company we would want for ourselves—one that behaves like a doctor in the family.

About The Role

+Oscar is Oscar’s software platform and Campaign Builder is a tool that providers, payers, and partners use to engage with their members and customers. The Data Scientist I, Product Analytics will play a critical role in developing the data pipeline management and reporting infrastructure for +Oscar Campaign Builder clients. Additionally, they’ll partner with the Customer Success function to conduct outcomes analytics and reporting based on client needs and interest.

Campaign Builder is an engagement and automation platform that enables scalable, personalized interventions and automates workflows to drive growth, manage risk, and optimize admin operations. Built for non-technical users, risk bearing entities can use the tool to build “campaigns” that deliver interventions with multiple touch points over time to drive behavior change. The solution has been a key differentiator for +Oscar clients and we’re excited about bringing the technology to more users nationwide.

You will report into an Associate Director of Data Science. This is a remote / work-from-home role. You must reside in one of the following states: Arizona, California, Colorado, Connecticut, Florida, Georgia, Illinois, Iowa, Maryland, Massachusetts, Michigan, New Hampshire, New Jersey, New Mexico, New York, North Carolina, Ohio, Oregon, Pennsylvania, Rhode Island, Tennessee, Texas, Utah, Virginia, Washington, or Washington, D.C. Note, this list of states is subject to change.

The potential base pay for this role is: $115,360-$151,410 per year. You are also eligible for employee benefits, company equity grants and annual performance bonuses.

Applicants must be currently authorized to work in the United States on a full-time basis. Oscar will not sponsor applicants for this role.

Responsibilities
Help establish and maintain strategic +Oscar Modular Solutions roadmap for the Data team
Work with key stakeholders to strategize, implement, and manage the productization of data science models related to Campaign Builder
Assist with the evaluation of the financial impact of campaigns with both external and internal audiences
Requirements gathering for data pipeline management and reporting infrastructure build out and enhancement; includes obtaining regular stakeholder and end-user input
Help establish success metrics for projects and work with business to track and communicate metrics through dashboards and metrics
Requirements
A bachelor's degree and 2+ years of relevant work experience OR a master’s degree in a quantitative field and 1+ years of relevant work experience
Experience working with and building data models using common tools like Python or SQL
Experience with product analytics
Experience managing projects and partners across the organization with the ability to visualize a process, identify and resolve bottlenecks
Bonus Points
Knowledge of or previous work experience in health care, health economics, or health insurance
This is an authentic Oscar Health job opportunity. Learn more about how you can safeguard yourself from recruitment fraud here.

At Oscar, being an Equal Opportunity Employer means more than upholding discrimination-free hiring practices. It means that we cultivate an environment where people can be their most authentic selves and find both belonging and support. We're on a mission to change health care -- an experience made whole by our unique backgrounds and perspectives..

Pay Transparency

Final offer amounts, within the base pay set forth above, are determined by factors including your relevant skills, education, and experience.

Full-time employees are eligible for benefits including: medical, dental, and vision benefits, paid holidays, paid vacation and sick time, paid parental leave, 401(k) plan participation, life and disability insurance, and paid wellness time and reimbursements.

Reasonable Accommodation

Oscar applicants are considered solely based on their qualifications, without regard to applicant’s disability or need for accommodation. Any Oscar applicant who requires reasonable accommodations during the application process should contact the Oscar Benefits Team (accommodations@hioscar.com) to make the need for an accommodation known.

To protect the health and safety of our employees, we require any employee conducting in-person work* to be fully vaccinated against COVID-19 by their start date. If you are unable to be vaccinated due to medical or protected religious reasons, please reach out to our Benefits team at accommodations@hioscar.com to submit an accommodations request.
Note: In-person work includes: employees required to work from our offices, employees conducting sales work in the field and employees conducting at-home or in-person visits with members."
1082,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-tesla-3477765885,Tesla,"Fremont, CA",1001,1,"About the job
What To Expect

The Business Analytics team’s mission is to enable a data driven business and generate values from our data. The team is responsible for providing insights around our business and its associated processes, as well as customers and products. The team directly supports business leaders from our retail locations and at the headquarter, and up to our executive team.

We are looking for a hands-on data scientist who can lead key cross-functional projects for both energy and automotive business using data science tools and techniques to drive business process automations and support sales & service strategies by leveraging our data.

What You’ll Do
Contribute to all the stages of data science projects: from translating a complex business problem into a data science problem to performing data analysis & modeling, and providing solutions to the business.
Develop and maintain complex data pipelines, supporting our team’s mission in democratizing data and enabling a data driven organization, partnering with Data Analysts, Data Engineers, Machine Learning (ML) Engineers, and Product Managers.
Effectively communicate actionable insights to all levels of the organization with varying degree of data science understanding and backgrounds.
Collaborate closely with leadership, engineering, and other stakeholders to deliver impactful business insights.
Apply various ML, advanced analytics and visualization techniques to various datasets across the company.
What You’ll Bring
MS. or 2+ years of equivalent experience in a quantitative field (e.g. Data Science, Applied Mathematics, Business Analytics, Operations Research, Statistics, Computer Science, Artificial Intelligence, Economics or Engineering).
Results oriented with strong business acumen and in-depth data science skills.
Strong written, verbal, and interpersonal communication skills. Ability to communicate effectively at all levels in the organization.
Proven track record of extracting data insights and building ML models and, especially in business analytics (or related) domain. Uplevel team’s ML capabilities in one or more major areas (e.g. forecasting, predictive modeling, descriptive analytics, or Natural Language Processing (NLP)).
Expert in SQL and Python, especially in standard data science libraries and frameworks such as pandas, numpy, scikit-learn, Tensorflow/PyTorch, PySpark, etc.
Proficiency in one or more visualization tools such as Tableau, Streamlit etc.
Expert in data wrangling and analyzing massive and complex datasets, structured or unstructured.
Ability to self-start and work independently in an unstructured environment as well as navigate (and bring structure to) ambiguity, bringing a problem from 0 to 1.
Excellent problem-framing, problem solving and project management skills as well as ability to change direction quickly.
Ability to manage and prioritize multiple projects.
Benefits

Along with competitive pay, as a full-time Tesla employee, you are eligible for the following benefits at day 1 of hire:
Aetna PPO and HSA plans > 2 medical plan options with $0 payroll deduction
Family-building, fertility, adoption and surrogacy benefits
Dental (including orthodontic coverage) and vision plans, both have options with a $0 paycheck contribution
Company Paid (Health Savings Account) HSA Contribution when enrolled in the High Deductible Aetna medical plan with HSA
Healthcare and Dependent Care Flexible Spending Accounts (FSA)
LGBTQ+ care concierge services
401(k) with employer match, Employee Stock Purchase Plans, and other financial benefits
Company paid Basic Life, AD&D, short-term and long-term disability insurance
Employee Assistance Program
Sick and Vacation time (Flex time for salary positions), and Paid Holidays
Back-up childcare and parenting support resources
Voluntary benefits to include: critical illness, hospital indemnity, accident insurance, theft & legal services, and pet insurance
Weight Loss and Tobacco Cessation Programs
Tesla Babies program
Commuter benefits
Employee discounts and perks program
Expected Compensation

$80,000 - $258,000/annual salary + cash and stock awards + benefits

Pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, and experience. The total compensation package for this position may also include other elements dependent on the position offered. Details of participation in these benefit plans will be provided if an employee receives an offer of employment."
1083,Data Scientist I,https://www.linkedin.com/jobs/view/data-scientist-i-at-averity-3485469837,Averity,"New York, United States",1001,1,"About the job
How would you like to become a Data Scientist on a rapidly growing Data team inside of one of the largest healthcare staffing companies in the country? This company was honored with a Glassdoor Employees’ Choice Award recognizing it as one of the Best Places to Work in 2023!


What's the Job?

This Data Division works in pods and each pod works on a plethora of projects. You will have the opportunity to be involved in supply and demand forecasting, creating algorithms that determine pay for travel nurses and bill rates for clients, segmentation, and job matching for travel nurses. You will have a project that is yours that you will own end-to-end.


This will be a position that operates cross-functionally with various internal teams but also external partners. Aside from the model building and technical work, you will be involved in the analytics and business side of the house, driving strategy and the company roadmap.



Who Are We?

This company is a leader in connecting nurses and allied health clinicians with hospitals and healthcare systems across all 50 states and is growing enormously. For over a decade, this company has ranked in the nation's top 5,000 fastest growing companies.


What Skills Do I Need?

Machine Learning and Analytics experience
Python
Business facing experience and strong communication skills
Master's in Statistics, Data Science, Computer Science or closely related STEM field


Nice to have?

SQL
Databricks
Azure


Compensation:

$110,000 - $130,000
Full Benefits Package (Vision, Dental, Health)
401(k) with matching
Several other company perks
Fully remote

What's in it For You?

This is great opportunity to take your talents to a leading organization where there is no ceiling to your career progression across any of our business arms. As a Data Scientist on this team, you will be involved in the upswing of new technology in an increasingly competitive space."
1084,Data Scientist (Python) - Onsite,https://www.linkedin.com/jobs/view/data-scientist-python-onsite-at-grindstone-3496108766,Grindstone,"Columbia, MD",1001,1,"About the job
Work hard and make a difference

Grindstone PBC is a cybersecurity public benefit corporation with a mission to protect and educate the world. We take on large challenges through collaboration, innovation, and talent. We seek out a diverse workforce to take on the challenges of the nation with character, integrity, determination, commitment, and accountability. Our client is looking for a Data Scientist (Python) - Onsite. If interested after reviewing the description below, please apply and someone from the Grindstone team will reach out to you.

Work Location: Columbia MD

Job Description

Designs develops and implements machine learning, data visualization, statistical analysis, and other data science techniques to enable insider threat detection.
Solve specific problems using tailored analytics, including machine learning to detect anomalous and suspicious patterns of behavior within a cloud environment.
Experience in supervised and unsupervised learning.
Ability to perform feature engineering to identify and predict hidden patterns in data.
Familiar with risk and threat analytics.
Experience in Splunk analytic development (Splunk Phantom and Splunk DSP) is a plus.

Qualifications:

Required (10 years)
Bachelor’s degree or related work experience
Ability to perform tasks under limited supervision
Machine Learning experience (5+ years)

NO Clearance Required

Powered by JazzHR

PKRurjFYaA"
1085,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-smith-hanley-associates-3485092940,Smith Hanley Associates,San Francisco Bay Area,1001,1,"About the job
Title: Data Scientist

Location: San Francisco, CA or Remote

Salary: $100,000 - 150,000

Contact: Paul Chatlos, pchatlos@smithhanley.com


Venture capital fund based in the Bay Area is seeking to hire their first Data Scientist to assist them in their investment portfolio decisions


Data Scientist Overview


As part of an established venture capital fund with significant access to capital in the Menlo Park, CA area, this Data Scientist position will work within a lean team to conduct exceptional financial diligence, source new opportunities, and provide portfolio company support in the Internet, Media and Fin Tech Sectors. The team invests across stages from pre-seed to pre-IPO and takes an opportunistic approach to investments. This individual will be based in the Bay Area and compensation will be commensurate with experience.


Data Scientist Primary responsibilities include


-Create and refine models based on historical startup success and scoring system for sourcing purpose

-Regularly screen companies within DST's database to surface companies with key developments

-Develop investment thesis using quantitative research

-Facilitate portfolio management by connecting API into portfolio data sources

-Create and maintain database of companies evaluated by investment team as well as track performance of investment decision

-Effectively communicate with an ability to interpret and present analytical insights to stakeholders


Data Scientist Requirements


-Undergraduate degree. B.S. Computer Science, Data Science or Statistics from top tier University

-Preferred Masters degree in Computer Science or Statistics

-1-3 years of previous data scientist experience. A plus if within Venture Capital, Finance or investing space

-Data science/engineering and computer programming project experience

-Data science skills including Python, SQL, regression and statistical modeling

-Basic understanding of ML/AI and familiarity of key frameworks such as Tree Model, CNN, TensorFlow and Scikit-Learn

-Basic front-end and back-end programing skills such as Javascript, HTML and PHP

-Exceptional technical, analytical and research skills

-Familiar with Excel VBA and PowerPoint

-Experience with database such as AWS and MongoDB

-Familiar with data visualization tools such as PowerBI and Tableau

-Data engineering and web-scraping skills

-Familiar with PHP programming

-Familiar with services providers such as Crunchbase, Tracxn, Pitchbook, SecondMeasure, etc.

-Strong attention to detail

-Intellectually curious with strong interpersonal and communication skills

-Hard working

-Self-motivated & proactive

-Resourceful"
1086,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-lexicon-solutions-3475904812,Lexicon Solutions,United States,1001,1,"About the job
Drive the design, development, and maintenance of analytical models to surface actionable insights for proactive decision-making, ranging from product feature experimentation to customer lifetime value forecasting to fraud detection, etc.
Collaborate with business owners to understand short and long-term goals and scope technical requirements to meet business needs
Work alongside Enterprise Data Architecture team members to ensure data is collected, cleansed, and transformed to efficiently bring your algorithms to life
Establish and develop experimentation frameworks to foster clear, easy to understand statistical outputs that will drive iterative process improvement
Present data and solutions effectively across geographically dispersed teams from a diverse set of technical backgrounds, including leadership and executive teams
Complete assigned tickets including functional/technical development, testing, review, UAT, and deployment while communicating progress and blockers
Promote best practices and help guide the broader team toward continuous improvement
Understand data science/ML trends and the practical application of existing and emerging technologies to enable new and evolving business needs
Recommend appropriate tools or technologies to leverage across advanced analytics use cases
Communicate complex solutions clearly and effectively to all levels of the organization
Strategically partner with Product to inform feature development, demonstrating what will drive business value

COMPETENCIES

7+ years of combined experience in data science, advanced analytics, or related fields
Technically proficient in a scripting language (Python or R preferred), SQL, and data visualization (Tableau preferred)
Demonstrated expertise in advanced analytics and data science techniques, including building, testing, and deploying predictive models
Comfortable running the full lifecycle of a data science project, from gathering requirements and articulating the use case, through data preparation, analysis, and recommendations
Skilled at solving ambiguous challenges and thinking both forward and proactively when designing analytic solutions to move problems forward
Ability to maintain exemplary communication and a customer-focused approach while working across multiple projects
A willingness to collaborate, embrace change, and apply entrepreneurial approaches to analytic solutions

REQUIRED EDUCATION AND EXPERIENCE

Advanced (Master's / PhD) degree in a quantitative field (Data Science / Statistics preferred)
Experience standing up data science and advanced analytics solutions from scratch
Experience with transactional datasets and leading projects that span the disciplines of data science and data engineering
Experience using cloud computing environments (direct experience with Snowflake and AWS, a plus)
Demonstrated experience in business strategy and delivering value to business stakeholders
Understanding of product development and how to influence via data analysis
Awareness of Machine Learning and its applicable use cases, a plus
Ability to prioritize competing tasks, think independently, and take initiative
Communication skills with all levels of business and a customer service mindset

PREFERRED EDUCATION AND EXPERIENCE

4 year college degree or equivalent combination of education, training, and experience"
1087,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-thena-3497900936,Thena,"Palo Alto, CA",1001,1,"About the job
Thena is a pre-seed startup that is redefining customer experience for businesses. We are looking for a smart, energetic, and driven Machine Learning Engineer to join our team in our Palo Alto office. The successful candidate will have 2-4 years of industry experience and a strong background in developing and deploying ML models that drive business value. In this role, you will work closely with our data science and engineering teams to build and deploy scalable and efficient ML models that solve complex business problems.

If you are a talented Machine Learning Engineer with a passion for enterprise software development and a desire to work in a dynamic startup environment, then we encourage you to apply for the Machine Engineering role at Thena.

Role:
Develop, fine-tune, and deploy ML models for B2B customer communication and collaboration use cases.
Collaborate with cross-functional teams to define requirements, design models, and deploy them in production.
Optimize model performance and accuracy through experimentation, iteration, and testing.
Build and maintain ML infrastructure and tools to support model development and deployment.
Stay up-to-date with the latest research and best practices in ML, and share knowledge with the team.

Requirements
2-4 years of industry experience in machine learning engineering, with a focus on natural language processing (NLP) and text classification models.
Experience with ML Ops, including deploying and managing ML models in production environments.
Proficiency in Python and deep learning frameworks such as PyTorch or TensorFlow.
Experience with Embeddings and building on top of LLMs.
Strong problem-solving and analytical skills, with the ability to develop creative solutions to complex problems.
Strong communication skills, with the ability to collaborate effectively with cross-functional teams.
Bachelor's or Master's degree in Computer Science, Electrical Engineering, or a related field.

Benefits
Competitive salary and benefits package, including insurance for self and family.
Best-in-class equipment to work with.
ESOPs to build long-term wealth.
The opportunity to work in a fun and fast-paced startup environment."
1088,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-focuskpi-inc-3515091467,"FocusKPI, Inc.","San Francisco, CA",1001,1,"About the job
This job is sourced from a job board. Learn moreFocusKPI is seeking a Data Scientist to enable deep media insights through advanced analytics for our client, one of the largest retailers/e-commerce companies in the U.S..

Work Location: Remote in the U.S.

Duration: 6 months contract with potential for extension and conversion, depending on budget and performance

Pay range: $50/hour to $75/hour

Responsibilities

Perform hands-on coding to retrieve and analyze large datasets using Python and SQL
Integrate disparate data sources and leverage state-of-the-art analytics best practices to deliver integrated actionable insights to partners and stakeholders
Manage and streamline data extraction process with great attention to details
Assess the potential usefulness, validity, and rigor of new data sources
Work with cross-functional team to ensure that the quality of the data are of the highest standard
Help with media mix models to connect the impact of marketing tactics and business short-term and long-term outcomes

Qualifications

Master’s degree in statistics/mathematics, engineering, computer science, economics, or a related field
3+ years of industry experience in data, analytics, and data science role
Proficient coding skills (SQL/Python/R)
Deep knowledge of relational database capabilities and experience with big data technologies (Hive/Hadoop)
Proficient BI/BA data visualization tools (Tableau, PowerBI, ThoughtSpot, Looker, etc.)
Experience working with Marketing Mix Modeling (MMM) and/or Multi-Touch Attribution Models (MTA) is a must
Experience with Modeling and Machine learning
Experience with cloud technologies such as GCP, AWS, Azure
Experience in integrating, structuring, and analyzing large amounts of data from diverse sources
Strong project management skills and attend-to-detail documentation skills.
Strong written and verbal communication with the ability to communicate complex technical topics clearly to a range of audiences and to ‘tell a story that provides insight into the business
Passion for working in a fast-paced agile environment.
A collaborative mindset and sense of curiosity

Preferred Qualifications

Ph.D. degree in statistics/mathematics, engineering, computer science, economics, or a related field
Experience with predictive modeling algorithms and optimization techniques
Experience applying statistics to business problems
Experience with advertising, measurement, and/or digital marketing analytics
Experience with advertising technology platforms, Ad servers, DSPs, DMPs, etc.

Thank you!

FocusKPI Hiring Team

Founded in 2010, FocusKPI, Inc. (FocusKPI) is a data science and technology firm specializing in predictive analytics practice and methodologies. FocusKPI is a US company headquartered in Silicon Valley, California with an East Coast office in Boston, Massachusetts.

NOTICE: Please be aware of fraudulent emails regarding job postings, job offers and fake checks. FocusKPI's recruiting team will strictly reach out via @focuskpi.com email domain. If you have received fraudulent emails now or in the past, please report it to https://reportfraud.ftc.gov/ .

The domain @focuskpijobs.com is fraudulent and not related to FocusKPI. Please do not not reply or communicate to anyone with @focuskpijobs.com."
1089,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-agility-partners-3482943863,Agility Partners,"Redmond, WA",1001,1,"About the job
Job Description:

The Data Scientist works on a team using statistical, mathematical, and predictive data models to bring insights and answers to complex business questions. They will apply their advance analytics and solution engineering skills to data to build solutions. They will work on data sets from various sources and focus on solving applied problems using Natural Language Processing, Text Mining, Data Mining & Machine Learning. A blend of experience in science and engineering skills, and a proven track record of solving critical business problems through data science and strong analytical/quantitative and engineering skills is desired. This role will focus on monetization optimization for Minecraft Marketplace.


Requirements:

- 3-5 years of experience

- Apply knowledge of machine learning techniques and concepts, including the design and implementation of advanced artificial intelligence, computational algorithms, and data science techniques.

- Participate in and lead the running of experiments and documentation of results in technical or research whitepapers.

- Communicates data findings to both business and IT leaders to influence how an organization approaches and meets business challenges of an evolving customer base and changing marketplace, using strong business acumen.

- Collaborates with database engineers and other scientists to develop, refine, and scale data management and analytics procedures, systems, workflows, best practices, and other issues.

- Conduct statistical modeling and experiment design, test and validate predictive models.

- Conducts scalable data research, on and off the cloud.

- Develop custom algorithms to solve analytical problems with data sets.

- Implement automated processes for scaling models.

- Build and maintain data pipelines


W2 ONLY!"
